Dataset,Algorithm,Strategy,Accuracy,Precision,Recall,F1,AUC
CloudTrail,iforest,out-of-the-box,1.0,1.0,1.0,1.0,1.0
CloudTrail,iforest,peak,0.91,1.0,0.1,0.18181818181818182,0.55
CloudTrail,iforest,tuned,0.91,1.0,0.1,0.18181818181818182,0.55
CloudTrail,lof,out-of-the-box,0.88,0.4,0.4,0.4,0.6666666666666666
CloudTrail,lof,peak,0.91,0.6,0.3,0.4,0.6388888888888888
CloudTrail,lof,tuned,0.9,0.0,0.0,0.0,0.5
CloudTrail,ocsvm,out-of-the-box,0.58,0.18,0.9,0.3,0.7222222222222222
CloudTrail,ocsvm,peak,0.87,0.38461538461538464,0.5,0.43478260869565216,0.7055555555555556
CloudTrail,ocsvm,tuned,0.87,0.38461538461538464,0.5,0.43478260869565216,0.7055555555555556
CloudTrail,knn,out-of-the-box,0.9,0.0,0.0,0.0,0.5
CloudTrail,knn,peak,0.9,0.0,0.0,0.0,0.5
CloudTrail,knn,tuned,0.9,0.0,0.0,0.0,0.5
CloudTrail,hbos,out-of-the-box,0.9,0.0,0.0,0.0,0.5
CloudTrail,hbos,peak,0.9,0.0,0.0,0.0,0.5
CloudTrail,hbos,tuned,0.9,0.0,0.0,0.0,0.5
