param_n_estimators,param_max_samples,param_contamination,param_bootstrap,mean_test_score
50,auto,0.05,False,0.05990847997073576
100,auto,0.05,False,0.05739230053200814
200,auto,0.05,False,0.059905535956202904
50,0.5,0.05,False,0.06822768521134065
100,0.5,0.05,False,0.06348399292606947
200,0.5,0.05,False,0.06558372041233003
50,0.8,0.05,False,0.06452130583014447
100,0.8,0.05,False,0.06302651815346112
200,0.8,0.05,False,0.06603593530976475
50,auto,0.1,False,0.055427718763200094
100,auto,0.1,False,0.052311059222808515
200,auto,0.1,False,0.054890720882601184
50,0.5,0.1,False,0.06464649042115657
100,0.5,0.1,False,0.059371514982618834
200,0.5,0.1,False,0.0618601221237571
50,0.8,0.1,False,0.0606560824484465
100,0.8,0.1,False,0.05851952975411612
200,0.8,0.1,False,0.06110285478317549
50,auto,0.15000000000000002,False,0.03253929135755427
100,auto,0.15000000000000002,False,0.029708256459913717
200,auto,0.15000000000000002,False,0.03224120548363805
50,0.5,0.15000000000000002,False,0.04742756290160893
100,0.5,0.15000000000000002,False,0.04292160320881636
200,0.5,0.15000000000000002,False,0.046965728969465416
50,0.8,0.15000000000000002,False,0.03904557842699987
100,0.8,0.15000000000000002,False,0.03732137219468694
200,0.8,0.15000000000000002,False,0.0386862386194012
50,auto,0.05,True,0.060834186002886925
100,auto,0.05,True,0.05821253462701881
200,auto,0.05,True,0.06083832533432365
50,0.5,0.05,True,0.056767167628642055
100,0.5,0.05,True,0.05163498473592443
200,0.5,0.05,True,0.056282533049912736
50,0.8,0.05,True,0.060781546840407846
100,0.8,0.05,True,0.05811421920993956
200,0.8,0.05,True,0.06100051776813081
50,auto,0.1,True,0.05697746905540121
100,auto,0.1,True,0.053634967271254864
200,auto,0.1,True,0.05671000211321122
50,0.5,0.1,True,0.05414025998889412
100,0.5,0.1,True,0.049258687874670214
200,0.5,0.1,True,0.05387184169496106
50,0.8,0.1,True,0.057385909799599184
100,0.8,0.1,True,0.05351860752018225
200,0.8,0.1,True,0.05705199866261962
50,auto,0.15000000000000002,True,0.03716358281591044
100,auto,0.15000000000000002,True,0.03284931068083748
200,auto,0.15000000000000002,True,0.03843546716189371
50,0.5,0.15000000000000002,True,0.04363262942990246
100,0.5,0.15000000000000002,True,0.039753500429653386
200,0.5,0.15000000000000002,True,0.044229076275154246
50,0.8,0.15000000000000002,True,0.04096474894713235
100,0.8,0.15000000000000002,True,0.034375310523422825
200,0.8,0.15000000000000002,True,0.04123626745571631
